Scientific Name,Common Name,Status(TBD),Locality,rank,valid_AphiaID,valid_authority,kingdom,phylum,class,order,family,genus,citation,Date Taxonomy Updated,source
Salix sitchensis,Sitka willow,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salix spp.,Willow,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Salmo salar,Atlantic Salmon,Potential+Invasive,Kachemak_Bay,Species,127186,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Salmo salar Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127186 on 2024-02-21",2024-02-21,WORMS
Salpa fusiformis,Chain salp/Beach bubblewrap,Present,Kachemak_Bay,Species,137272,"Cuvier, 1804",Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,"Garic, R.; Madin, L.; van Soest, R.W.M. (2024). World List of Thaliacea. Salpa fusiformis Cuvier, 1804. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137272 on 2024-02-21",2024-02-21,WORMS
Salvelinus malma,Dolly Varden/Pacific brook char,Present,Kachemak_Bay,Species,254570,"(Walbaum, 1792)",Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salvelinus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Salvelinus malma (Walbaum, 1792). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254570 on 2024-02-21",2024-02-21,WORMS
Sambucus racemosa,Red-berried elder/Red elderberry/Red elder,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sandpiper Calidris pusilla,Semipalmated,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanguisorba canadensis,Sitka burnet/Sitka great burnet/Canadian burnet,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanguisorba menziesii,Menzies' burnet,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanguisorba sp.,Burnet,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sargassum muticum,Sargassum,Potential+Invasive,Kachemak_Bay,Species,494791,"(Yendo) Fensholt, 1955",Chromista,Ochrophyta,Phaeophyceae,Fucales,Sargassaceae,Sargassum,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sargassum muticum (Yendo) Fensholt, 1955. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=494791 on 2024-02-21",2024-02-21,WORMS
Sarritor frenatus,Sawback poacher,Present,Kachemak_Bay,Species,254374,"(Gilbert, 1896)",Animalia,Chordata,Teleostei,Perciformes,Agonidae,Sarritor,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sarritor frenatus (Gilbert, 1896). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254374 on 2024-02-21",2024-02-21,WORMS
Savoiea bipinnata,NA,Present,Kachemak_Bay,Species,1345055,"(Postels & Ruprecht) M.J.Wynne, 2018",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Savoiea,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Savoiea bipinnata (Postels & Ruprecht) M.J.Wynne, 2018. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1345055 on 2024-02-21",2024-02-21,WORMS
Saxidomus gigantea,NA,Present,Kachemak_Bay,Species,546014,"(Deshayes, 1839)",Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Saxidomus,"MolluscaBase eds. (2024). MolluscaBase. Saxidomus gigantea (Deshayes, 1839). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=546014 on 2024-02-21",2024-02-21,WORMS
Saxifraga bronchialis,Spotted saxifrage/Yellowdot saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga bronchialis ssp. funstonii,Funston's saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga caespitosa,Tufted alpine saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga eschscholtzii,Cushion saxifrage/Ciliate saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga ferruginea,Coast saxifrage/Coastal saxifrage/Russethair saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga foliolosa,Grained saxifrage/Leafystem saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga hirculus,Bog saxifrage/Yellow marsh saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga lyallii,Red-stemmed saxifrage/Redstem saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga nelsoniana ssp. nelsoniana,Heart-leaved saxifrage/Cordate-leaved saxifrage/Heartleaf saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga nelsoniana ssp. pacifica,Cordate-leaved saxifrage/Pacific saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga nivalis,Snow saxifrage/Alpine saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga oppositilofia,Purple mountain saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga rivularis,Brook saxifrage/Weak saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga serpyllifolia,Thymeleaf saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saxifraga tricuspidata,Prickly saxifrage/Three-toothed saxifrage,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sayornis saya,Say’s Phoebe,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scagelia occidentalis,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizoplax brandtii,Split-plate chiton,Present,Kachemak_Bay,Species,386400,"(Middendorff, 1847)",Animalia,Mollusca,Polyplacophora,Chitonida,Schizoplacidae,Schizoplax,"MolluscaBase eds. (2024). MolluscaBase. Schizoplax brandtii (Middendorff, 1847). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386400 on 2024-02-21",2024-02-21,WORMS
Schizoplax insignis,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizoporella (?) unicornis,Orange encrusting bryozoan,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizoporella sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ScientificName_accepted,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scolelepis sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scoloplos armiger,armored bristleworm; bristleworm,Present,Kachemak_Bay,Species,130537,"(Müller, 1776)",Animalia,Annelida,Polychaeta,NA,Orbiniidae,Scoloplos,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Scoloplos armiger (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=130537 on 2024-02-21",2024-02-21,WORMS
Scrippsia sp.,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scypha ciliata or Leucilla nuttingi,Tube sponge/Urn sponge,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scyra acutifrons,sharpnose crab; sharp-nosed crab,Present,Kachemak_Bay,Species,441698,"Dana, 1851",Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra,"DecaNet eds. (2024). DecaNet. Scyra acutifrons Dana, 1851. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=441698 on 2024-02-21",2024-02-21,WORMS
Scytosiphon lomentaria,beanweed,Present,Kachemak_Bay,Species,145869,"(Lyngbye) Link, 1833",Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Scytosiphonaceae,Scytosiphon,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Scytosiphon lomentaria (Lyngbye) Link, 1833. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=145869 on 2024-02-21",2024-02-21,WORMS
Seaella crassicomis,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Seariesia dira,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sebastes aleutianus,Rougheye rockfish/Blacktip rockfish,Present,Kachemak_Bay,Species,274771,"(Jordan & Evermann, 1898)",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes aleutianus (Jordan & Evermann, 1898). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274771 on 2024-02-21",2024-02-21,WORMS
Sebastes alutus,Pacific ocean perch/Longjaw rockfish/Pop rockfish,Present,Kachemak_Bay,Species,254573,"(Gilbert, 1890)",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes alutus (Gilbert, 1890). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=254573 on 2024-02-21",2024-02-21,WORMS
Sebastes babcocki,Redbanded rockfish/Bandit/Barber pole,Present,Kachemak_Bay,Species,274775,"(Thompson, 1915)",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes babcocki (Thompson, 1915). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274775 on 2024-02-21",2024-02-21,WORMS
Sebastes borealis,Shortraker rockfish/Buoy keg,Present,Kachemak_Bay,Species,274777,"Barsukov, 1970",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes borealis Barsukov, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274777 on 2024-02-21",2024-02-21,WORMS
Sebastes ciliatus (dark morph),Dark dusky rockfish/Brown bomber,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sebastes ciliatus (light morph),Light dusky rockfish,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sebastes crameri,Darkblotched rockfish/Blackblotched rockfish,Present,Kachemak_Bay,Species,274785,"(Jordan, 1897)",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes crameri (Jordan, 1897). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274785 on 2024-02-21",2024-02-21,WORMS
Sebastes flavidus,Yellowtail rockfish/Greenie,Present,Kachemak_Bay,Species,274795,"(Ayres, 1862)",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes flavidus (Ayres, 1862). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274795 on 2024-02-21",2024-02-21,WORMS
Sebastes melanops,Black rockfish/Black bass,Present,Kachemak_Bay,Species,274817,"Girard, 1856",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes melanops Girard, 1856. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274817 on 2024-02-21",2024-02-21,WORMS
Sebastes proriger,Redstripe rockfish,Present,Kachemak_Bay,Species,274838,"(Jordan & Gilbert, 1880)",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes proriger (Jordan & Gilbert, 1880). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274838 on 2024-02-21",2024-02-21,WORMS
Sebastes ruberrimus,Yelloweye rockfish/Rasphead rockfish/Red snapper,Present,Kachemak_Bay,Species,274844,"(Cramer, 1895)",Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Sebastes ruberrimus (Cramer, 1895). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274844 on 2024-02-21",2024-02-21,WORMS
Seiurus noveboracensis,Northern Waterthrush,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Selasphorus rufus,Rufous Hummingbird,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Semibalanus balanoides,acorn barnacle; barnacle; Common barnacle; common rock barnacle; northern rock barnacle,Present,Kachemak_Bay,Species,106210,"(Linnaeus, 1767)",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,"WoRMS (2024). Semibalanus balanoides (Linnaeus, 1767). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106210 on 2024-02-21",2024-02-21,WORMS
Semibalanus cariosus,thatched barnacle,Present,Kachemak_Bay,Species,594746,"(Pallas, 1788)",Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,"WoRMS (2024). Semibalanus cariosus (Pallas, 1788). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=594746 on 2024-02-21",2024-02-21,WORMS
Senecio lugens,Black-tipped groundsel/Small blacktip ragwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecio pauciflorus,Rayless alpine butterweed,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecio psuedoarnica,Seabeach groundsel/Beach sunflower/Beach daisy/Seaside ragwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecio triangularis,Arrow-leaved groundsel/Arrow leaf ragwort,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Senecio vulgaris,Common groundsel/Old-man-in-the-Spring,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serpula cf. vermicularis,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serpula vermicularis,Calcareous tube worm,Present,Kachemak_Bay,Species,131051,"Linnaeus, 1767",Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Serpula vermicularis Linnaeus, 1767. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131051 on 2024-02-21",2024-02-21,WORMS
Serranidae sp.,Unidentified sea bass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serripes groenlandica,NA,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serripes groenlandicus,Greenland cockle; Greenland smoothcockle,Present,Kachemak_Bay,Species,582749,"(Mohr, 1786)",Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Serripes,"MolluscaBase eds. (2024). MolluscaBase. Serripes groenlandicus (Mohr, 1786). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582749 on 2024-02-21",2024-02-21,WORMS
Serripes laperousii,Broad cockle; Broad smoothcockle,Present,Kachemak_Bay,Species,582750,"(Deshayes, 1839)",Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Serripes,"MolluscaBase eds. (2024). MolluscaBase. Serripes laperousii (Deshayes, 1839). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=582750 on 2024-02-21",2024-02-21,WORMS
Setophaga ruticilla,American Redstart,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shepherdia canadensis,Soapberry/Russet buffalo berry,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sialia curroides,Mountain Bluebird,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sibbaldia procumbens,Creeping sibbaldia,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silene acaulis,Moss campion/Cushion pink,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silene involucrata ssp. involucrata,Arctic catchfly,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silene sp.,Bladder campion,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Silene uralensis ssp. uralensis,Apetalous catchfly,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Siliqua alta,Northern razon clam/Arctic razor clam,Present,Kachemak_Bay,Species,413689,"(Broderip & G. B. Sowerby I, 1829)",Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Siliqua,"MolluscaBase eds. (2024). MolluscaBase. Siliqua alta (Broderip & G. B. Sowerby I, 1829). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=413689 on 2024-02-21",2024-02-21,WORMS
Siliqua patula,Pacific razor clam,Present,Kachemak_Bay,Species,536684,"(Dixon, 1789)",Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Siliqua,"MolluscaBase eds. (2024). MolluscaBase. Siliqua patula (Dixon, 1789). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=536684 on 2024-02-21",2024-02-21,WORMS
Siphonaria thersites,Lung snail,Present,Kachemak_Bay,Species,581906,"P. P. Carpenter, 1864",Animalia,Mollusca,Gastropoda,Siphonariida,Siphonariidae,Siphonaria,"MolluscaBase eds. (2024). MolluscaBase. Siphonaria thersites P. P. Carpenter, 1864. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=581906 on 2024-02-21",2024-02-21,WORMS
Sisyrinchium littorale,Alaska blue-eyed grass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sisyrinchium sp.,Blue-eyed grass,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sitta canadensis,Red-breasted Nuthatch,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solaster,NA,Present,Kachemak_Bay,Genus,123338,"Forbes, 1839",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,"Mah, C.L. (2024). World Asteroidea Database. Solaster Forbes, 1839. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123338 on 2024-02-21",2024-02-21,WORMS
Solaster dawsoni,Morning sun star,Present,Kachemak_Bay,Species,292720,"Verrill, 1880",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,"Mah, C.L. (2024). World Asteroidea Database. Solaster dawsoni Verrill, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=292720 on 2024-02-21",2024-02-21,WORMS
Solaster endeca,Northern sun star,Present,Kachemak_Bay,Species,124160,"(Linnaeus, 1771)",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,"Mah, C.L. (2024). World Asteroidea Database. Solaster endeca (Linnaeus, 1771). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=124160 on 2024-02-21",2024-02-21,WORMS
Solaster stimpsoni,Orange sun star; Stimpson's sun star; Striped sun star,Present,Kachemak_Bay,Species,292729,"Verrill, 1880",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,"Mah, C.L. (2024). World Asteroidea Database. Solaster stimpsoni Verrill, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=292729 on 2024-02-21",2024-02-21,WORMS
Solidago canadensis,Canada goldenrod,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solidago multiradiata,Northern goldenrod/Rocky Mountain goldenrod,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Solidago multiradiata var. multiradiata,Rocky Mountain goldenrod,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Somateria fischeri,Spectacled Eider,Present,Kachemak_Bay,Species,422886,"(Brandt, 1847)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,"WoRMS (2024). Somateria fischeri (Brandt, 1847). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=422886 on 2024-02-21",2024-02-21,WORMS
Somateria mollissima,Common Eider,Present,Kachemak_Bay,Species,137074,"(Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,"WoRMS (2024). Somateria mollissima (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137074 on 2024-02-21",2024-02-21,WORMS
Somateria spectabilis,King Eider,Present,Kachemak_Bay,Species,137075,"(Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,"WoRMS (2024). Somateria spectabilis (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137075 on 2024-02-21",2024-02-21,WORMS
Somniosus pacificus,Pacific sleeper shark,Present,Kachemak_Bay,Species,271654,"Bigelow & Schroeder, 1944",Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,Somniosus,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Somniosus pacificus Bigelow & Schroeder, 1944. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=271654 on 2024-02-21",2024-02-21,WORMS
Soranthera ulvoidea,Studded Sea Balloons,Present,Kachemak_Bay,Species,372521,"Postels & Ruprecht, 1840",Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Chordariaceae,Soranthera,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Soranthera ulvoidea Postels & Ruprecht, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=372521 on 2024-02-21",2024-02-21,WORMS
Sorbus scopulina,Greene's mountain ash,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorbus sitchensis,Native mountain ash/Western mountain ash,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex cinereus,Masked Shrew,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex monticolus,Dusky Shrew,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex palustris,Water Shrew,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorex tundrensis,Tundra Shrew,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparganium angustifolium,Narrowleaf bur-reed,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparganium hyperboreum,Northern bur-reed,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sparlingia pertusa,Red Eyelet Silk,Present,Kachemak_Bay,Species,375031,"(Postels & Ruprecht) G.W.Saunders, I.M.Strachan & Kraft, 1999",Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniaceae,Sparlingia,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sparlingia pertusa (Postels & Ruprecht) G.W.Saunders, I.M.Strachan & Kraft, 1999. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=375031 on 2024-02-21",2024-02-21,WORMS
Spergularia canadensis,Canadian sandspurry,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphacelaria,NA,Present,Kachemak_Bay,Genus,144272,"Lyngbye, 1818",Chromista,Ochrophyta,Phaeophyceae,Sphacelariales,Sphacelariaceae,Sphacelaria,"Guiry, M.D. & Guiry, G.M. (2024). AlgaeBase. World-wide electronic publication, National University of Ireland, Galway (taxonomic information republished from AlgaeBase with permission of M.D. Guiry). Sphacelaria Lyngbye, 1818. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=144272 on 2024-02-21",2024-02-21,WORMS
Sphyrapicus ruber,Red-breasted Sapsucker,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spio filicornis,bristleworm,Present,Kachemak_Bay,Species,131183,"(Müller, 1776)",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,"Read, G.; Fauchald, K. (Ed.) (2024). World Polychaeta Database. Spio filicornis (Müller, 1776). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131183 on 2024-02-21",2024-02-21,WORMS
Spiraea stevenii,Alaska spiraea/Beauverd's spiraea,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spiranthes romanzoffiana,Ladies' tresses/Hooded ladies' tresses,Present,Kachemak_Bay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
